CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1405322E,INALAMBRICA,2 MB,SEJ,PEDRO MORENO,MATUTINO,SECUNDARIA,SUR,SAN GABRIEL,APANGO,PORFIRIO DIAZ S/N,49710,-103.7115472,19.7825444,SUSPENDIDO
1405225E, iMAX,2 MB,SEJ,VICENTE GUERRERO,VESPERTINO,PRIMARIA,SUR,TEOCUITATLAN DE CORONA,AGUA HONDA,CONOCIDO,49250,-103.3862611,20.1350306,SIN SERVICIO
1408861J, iMAX,2 MB,SEJ,RAMON G BONFIL,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,VASCO UÑEZ DE BALBOA 2699 ENTRE FRANCISCO VAZQUEZ CORONADO Y PEDRO MORENO ,44930,-103.374,20.74,ACTIVO
1405004F, iMAX,2 MB,SEJ,USAER TUXPAN,MATUTINO,ESPECIAL,SUR,TUXPAN,TUXPAN,AVENIDA TIZATIRLA 37,49800,-103.3759833,19.5545,ACTIVO
1401476H, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,VESPERTINO,PRIMARIA,NORTE,HUEJUCAR,LAS CA_AS,MORELOS 23,46260,-103.3429333,22.3079917,SIN SERVICIO
1409836H, iMAX,2 MB,SEJ,15 DE MAYO,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,ROSAL 976 COL .LOS TULIPANES,45640,-103.4340556,20.5856944,ACTIVO
SSJ_438,ADSL,2 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,SURESTE,TAMAZULA DE GORDIANO,TAMAZULA DE GORDIANO,AVENIDA JOSE MARIA MARTINEZ # 1490,49650,-103.241369,19.689354,SUSPENDIDO
1402643X, iMAX,2 MB,SEJ,AMADO ERVO,MATUTINO,PRIMARIA,ALTOS SUR,SAN IGNACIO CERRO GORDO,SAN IGNACIO CERRO GORDO,NIÑOS HEROES 180 ,47190,-102.5291667,20.7472222,ACTIVO
1405127A, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,MATUTINO,PRIMARIA,SUR,ZAPOTILTIC,ZAPOTILTIC,LOPEZ COTILLA 2,49610,-103.4452222,19.6363444,ACTIVO
1410767J, iMAX,2 MB,SEJ,TLAMACHTILKALLI,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA DEL CARRIL 895,45402,-103.2460556,20.5955556,ACTIVO
1404418K, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,MATUTINO,PREESCOLAR,SURESTE,TAMAZULA DE GORDIANO,SAN VICENTE (VICENTE GUERRERO),HIDALGO,49650,-103.2507028,19.6489417,SIN SERVICIO
1410545G,ADSL,10 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,JUAN DIEGO 72,45590,-103.3474361,20.5974639,SUSPENDIDO
1402580D, iMAX,2 MB,SEJ,MOCTEZUMA XOCOYOTZIN,VESPERTINO,PRIMARIA,ALTOS SUR,ACATIC,ACATIC,VICENTE GUERRERO 420 ,45470,-102.9077,20.788,ACTIVO
SSJ_655, iMAX,2 MB,SSJ,SAUCILLO DE MALDONADO,N/D,N/D,CENTRO,ZAPOTLANEJO,SAUCILLO DE MALDONADO (EL SAUCILLO),INDEPENDENCIA O.81,45430,-102.9245833,20.5578056,SIN SERVICIO
1405793E, iMAX,2 MB,SEJ,AGUSTIN MELGAR,MATUTINO,PRIMARIA,COSTA SUR,CASIMIRO CASTILLO,LO ARADO,AGUSTIN MELGAR 96,48940,-104.5361389,19.6210194,ACTIVO
1411389B, iMAX,2 MB,SEJ,CAÑON DE TLAXCALA,MATUTINO,PREESCOLAR,NORTE,BOLAÑOS,CA_ON DE TLAXCALA,CONOCIDO,46130,-103.9696167,21.8180111,SIN SERVICIO
135IJJ,ADSL,2 MB,IJJ,ESPACIO PODER JOVEN CONCEPCION DE BUENOS AIRES,N/D,N/D,SURESTE,CONCEPCION DE BUENOS AIRES,N/D,"CALLE VALLARTA # 7, CONCEPCION DE BUENOS AIRES, JALISCO.",N/D,103¡15'36.41, 19¡58'45.87 ,SUSPENDIDO
SSJ_045, iMAX,2 MB,SSJ,LA PURISIMA,N/D,N/D,CIENEGA,ATOTONILCO EL ALTO,LA PURISIMA,NICANDRA VAZQUEZ S/N,47750,-102.4647222,20.6058333,SIN SERVICIO
1406386F,ADSL,2 MB,SEJ,AGUSTIN FLORES,MATUTINO,PRIMARIA,COSTA ORTE,TOMATLAN,TOMATLAN,HIDALGO 46,48450,-105.2451861,19.942225,SUSPENDIDO
UDG_25,ADSL,10 MB,UDG,ESC. PREPA. MODULO MAZAMITLA,N/D,ESC. PREPA. MODULO MAZAMITLA,SURESTE,MAZAMITLA,N/D,JUAREZ O.8. ENTRE GUILLERMO PRIETO Y JOSE S. CENT,N/D,-103.020722,19.914472,SUSPENDIDO
1407400F, iMAX,2 MB,SEJ,JUSTO SIERRA,MATUTINO,PREESCOLAR,VALLES,TEUCHITLAN,TEUCHITLAN,JUAN CUEVAS 15,46760,-103.8481917,20.6872722,ACTIVO
1408903G, iMAX,2 MB,SEJ,AQUILES SERDAN,MATUTINO,PRIMARIA,CENTRO,ACATLAN DE JUAREZ,SAN JOSE DE LOS POZOS (LOS POZOS),AQUILES SERDAN 93,45700,-103.5707111,20.350575,SIN SERVICIO
1410828G, iMAX,2 MB,SEJ,RAFAEL RAMIREZ CASTAÑEDA,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,HIDALGO,45400,-103.2694444,20.6622222,SIN SERVICIO
1404996B, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,VESPERTINO,PRIMARIA,SUR,TUXPAN,TUXPAN,ANGEL CENICEROS,49800,-103.3745583,19.5611361,SIN SERVICIO
1405414A,ADSL,2 MB,SEJ,JAIME TORRES BODET,MATUTINO,SECUNDARIA,SIERRA DE AMULA,EL GRULLO,EL GRULLO,LEONA VICARIO ¼ 306 COL. CENTRO,48740,-104.2246417,19.8118111,SUSPENDIDO
1410631A, iMAX,2 MB,SEJ,IRENE ROBLEDO,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PUESTA DEL SOL,45638,-103.2565556,20.5923333,ACTIVO
JCSSA006576,ADSL,2 MB,SSJ,MODULO UNION DE SAN ANTONIO,N/D,N/D,ALTOS ORTE,UNIîN DE SAN ANTONIO,UNION DE SAN ANTONIO,CARR. LAGOS LA UNION,48800,-102.005,21.1283333,SUSPENDIDO
1409146C,INALAMBRICA,2 MB,SEJ,AGUSTIN YAÑEZ DELGADILLO,VESPERTINO,SECUNDARIA,CENTRO,VILLA CORONA,ATOTONILCO EL BAJO,IGUALDAD O. 43-A,45745,-103.6715472,20.350575,SUSPENDIDO
1412582D,ADSL,2 MB,SEJ,N/C,MATUTINO,SECUNDARIA,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,PROL. LîPEZ RAYîN (ENTRE MARIANO AZUELA Y FAUSTO MICHEL)COL. PRIMAVERA,48900,-104.3698972,19.7714333,SUSPENDIDO
GOB_002, iMAX,2 MB,GOB,AYUNTAMIENTO DE TEPATITLAN,N/D,AYUNTAMIENTO DE TEPATITLAN,ALTOS SUR,TEPATITLAN DE MORELOS,N/D,MORELOS 320,N/D,-102.7655833,20.8153889,SIN SERVICIO
1407994A,ADSL,10 MB,SEJ,ALBERT EINSTEIN,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,FEDERACION 2505,44730,-103.3021528,20.6734083,SUSPENDIDO
1410574X, iMAX,2 MB,SEJ,HEROES DE LA PATRIA,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,MORELOS 6 ENTRE 28 DE ENERO Y 5 DE MAYO ,45620,-103.3871944,20.5887222,SIN SERVICIO
1412799C,ADSL,10 MB,SEJ,N/D,N/D,N/D,CENTRO,TLAQUEPAQUE,N/D,SAN CAMILO,N/D,-103.3443889,20.5658611,SUSPENDIDO
1409758H,ADSL,10 MB,SEJ,GREGORIO TORRES QUINTERO,VESPERTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,PLAN DE LA ORIA,45190,-103.3508333,20.7382361,SUSPENDIDO
1409150C, iMAX,2 MB,SEJ,VENUSTIANO CARRANZA,MATUTINO,SECUNDARIA,CENTRO,VILLA CORONA,EL BARRO,CAMINO A AVAJAS # 1,45730,-103.7509944,20.4725139,SIN SERVICIO
1410178J,ADSL,2 MB,SEJ,FRAY BARTOLOME DE LAS CASAS,MATUTINO,PRIMARIA,CENTRO,CUQUIO,TEPONAHUASCO,CONOCIDO,45480,-103.0393111,20.9080528,SUSPENDIDO
1409524F,ADSL,10 MB,SEJ,VIGIA 2,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,FRAY FRANCISCO LORENZO 100,45140,-103.4029861,20.7290194,SUSPENDIDO
1402498D, iMAX,2 MB,SEJ,IGNACIO M. ALTAMIRANO,MATUTINO,SECUNDARIA,ALTOS ORTE,ENCARNACION DE DIAZ,EL SALVADOR,CONOCIDO,47270,-102.257625,21.6033028,SIN SERVICIO
1405600G,ADSL,2 MB,SEJ,RICARDO FLORES MAGON,VESPERTINO,PRIMARIA,SIERRA DE AMULA,UNIîN DE TULA,UNION DE TULA,JUAREZ 575 PONIENTE,48000,-104.2682278,19.9550361,SUSPENDIDO
SSJ_383,ADSL,2 MB,SSJ,SAN DIEGO DE ALEJANDRIA,N/D,N/D,ALTOS ORTE,SAN DIEGO DE ALEJANDRIA,SAN DIEGO DE ALEJANDRIA,MARCOS RIVERA S/N,47950,-101.99,20.9916667,SUSPENDIDO
1402253G, iMAX,2 MB,SEJ,PEDRO MORENO,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,EL SITIO,CONOCIDO,47400,-102.0409528,21.3338694,SIN SERVICIO
CCR_226, iMAX,2 MB,SDH,CASA MAYOR CASA SOCIAL PARA ADULTOS MAYORES A.C.,N/D,N/D,VALLES,AHUALULCO DE MERCADO,AHUALULCO DE MERCADO,ALVARO OBREGON ¡ 1,N/D,-103.9737361,20.7019556,SIN SERVICIO
1407118D,ADSL,2 MB,SEJ,FORANEA O. 9,MATUTINO,SECUNDARIA,VALLES,ETZATLAN,ETZATLAN,AV. EVERARDO TOPETE ¼ 25,46500,-104.0879556,20.7637111,SUSPENDIDO
1410624K, iMAX,2 MB,SEJ,JUAN PALOMAR Y ARIAS,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PROLONGACION EMILIANO ZAPATA ENTRE ITURBIDE Y MIGUEL HIDALGO ,45500,-103.3155556,20.6116667,ACTIVO
1405768H, iMAX,2 MB,SEJ,JOSE VASCONCELOS,MATUTINO,PREESCOLAR,COSTA SUR,AUTLAN DE AVARRO,LAS PAREDES,PLAN DE AYALA 9,48900,-104.2448944,19.7725444,ACTIVO
SGG_020, iMAX,2 MB,GOB,EDIFICIO LA PAZ,9:00 a 17:00 hrs.,N/D,CENTRO,GUADALAJARA,GUADALAJARA,AV. LA PAZ # 875 ,N/D,-103.3619444,20.6722222,SIN SERVICIO
1408113A, iMAX,2 MB,SEJ,ALBERTO SABIN,VESPERTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,H COLEGIO MILITAR 328,44400,-103.334,20.667,ACTIVO
PS_007, iMAX,2 MB,GOB,DEFENSORIA DE OFICIO. CEINJURE,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,CAMINO AHUACAPAN #969 KM 160 +300 CARRETERA AUTLAN-BARRA DE AVIDAD ,N/D,-104.345318,19.705571,ACTIVO
1408989C,ADSL,10 MB,SEJ,ALFONSO REYES,MATUTINO,SECUNDARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,LA CALERA,REFORMA # 62,45670,-103.2512583,20.45085,SUSPENDIDO
343DIFZ,ADSL,100 MB,DIF ZAPOPAN,CEMAM,N/D,N/D,CENTRO,ZAPOPAN,N/D,"CERRADA SANTA LAURA S/N (CRUZA CON CALLE SANTA LAURA) ZAPOPAN, JALISCO ENTRECALLE: , , ZAPOPAN, C.P. ",N/D,,,SUSPENDIDO
JCSSA005222,ADSL,2 MB,SSJ,CENTRO DE SALUD VISTA HERMOSA,N/D,N/D,SURESTE,TAMAZULA DE GORDIANO,VISTA HERMOSA (SANTA CRUZ DEL CORTIJO),RAMON CORONA #3,49657,-103.3402778,19.6902778,SUSPENDIDO
1408982H,ADSL,10 MB,SEJ,RAMON CORONA MADRIGAL,MATUTINO,PRIMARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,CAJITITLAN,CENTENARIO 1,45670,-103.3120333,20.4312778,SUSPENDIDO
1408248F, iMAX,2 MB,SEJ,CONALEP GUADALAJARA II,MATUTINO,PROF. MEDIO,CENTRO,GUADALAJARA,GUADALAJARA,ISLAS SALOMON 2553 ENTRE ISLA POMONA Y ISLAS MALDEN ,44950,-103.565,20.6458333,SIN SERVICIO
1407641X, iMAX,2 MB,SEJ,NARCISO MENDOZA,VESPERTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA COLON 1903,44910,-103.3630167,20.65455,ACTIVO
1407265C, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,VALLES,SAN MARTIN HIDALGO,SAN ISIDRO PALO VERDE,JUAREZ 7,46770,-103.9123861,20.3897389,SIN SERVICIO
1403445J,ADSL,2 MB,SEJ,JUAN GIL PRECIADO,MATUTINO,PRIMARIA,CIENEGA,ATOTONILCO EL ALTO,ATOTONILCO EL ALTO,AVENIDA SOUTH SAN FRANCISCO 294,47753,-102.5040194,20.5514472,SUSPENDIDO
CCR_119, iMAX,2 MB,IEEA,SAN JULIAN,N/D,N/D,ALTOS SUR,SAN JULIAN,SAN JULIAN,HIDALGO # 16 TERCER PISO COL. CENTRO C.P.47170 ,47170,-102.180944,21.010825,SIN SERVICIO
1410961J, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,EL SALTO,EL SALTO,"INDEPENDENCIA 663,COL. LOS LAURELES.",45680,-103.1811667,20.5298333,SIN SERVICIO
DIF_CDI_087, iMAX,2 MB,DIF,CAIC LOMA BONITA,N/D,PREESCOLAR,CENTRO,TONALA,N/D,"LOMA SOLA 48, COL. LOMA BONITA, TONALA C.P. 45409",45409,-103.2669444,20.65,SIN SERVICIO
1407077K,ADSL,2 MB,SEJ,CECYTEJ 4,MATUTINO,BACHILLERATO,VALLES,COCULA,COCULA,SAN LUIS POTOSI 50,48500,-103.8114389,20.3771167,SUSPENDIDO
1408238D, iMAX,2 MB,SEJ,ESC. SEC. TEC. O. 14,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,ISLA TOBAGO 2824 ENTRE ISLA ARUBA  Y FRANCISCO VAZQUEZ CORONADO  ,44950,-103.3830333,20.6429333,ACTIVO
UDG_30,ADSL,2 MB,UDG,N/D,N/D,N/D,CIENEGA,OCOTLAN,N/D,CALLE ALLENDE S/N,N/D,-102.775417,20.343139,SUSPENDIDO
CCL_FONDEREG_008,ADSL,2 MB,GOB,FONDEREG / UNION DE SAN ANTONIO,N/D,N/D,ALTOS ORTE,UNIîN DE SAN ANTONIO,UNION DE SAN ANTONIO,"JUAREZ 31-C, UNION DE SAN ANTONIO, UNION DE SAN ANTONIO, C.P. ",N/D,-102.007609,21.126529,SUSPENDIDO
1411004G,ADSL,10 MB,SEJ,JAIME TORRES BODET,VESPERTINO,PRIMARIA,CENTRO,ZAPOTLANEJO,ZAPOTLANEJO,UNIVERSIDAD 137,45430,-103.0596167,20.6259611,SUSPENDIDO
1408213B, iMAX,2 MB,SEJ,USAER GUADALAJARA 14,MATUTINO,ESPECIAL,CENTRO,GUADALAJARA,GUADALAJARA,ISLA CANCUN 2161 ENTRE ISLA BRETON Y ISLA ITACA ,44950,-103.3847222,20.6342778,ACTIVO
SSJ_592, iMAX,2 MB,SSJ,HOSPITAL GENERAL DE ZAPOPAN (CIVIL),N/D,N/D,CENTRO,ZAPOPAN,ZAPOPAN,COLON 289,45100,-103.3919444,20.7202778,SIN SERVICIO
1403900X,INALAMBRICA,2 MB,SEJ,ESC. SEC. TEC. O. 70,MATUTINO,SECUNDARIA,CIENEGA,PONCITLAN,MEZCALA,JUAN ASUNCION O.158,45970,-103.0179194,20.3361333,SUSPENDIDO
1407241E,ADSL,2 MB,SEJ,ESC. SEC. TEC. O. 21,MATUTINO,SECUNDARIA,VALLES,SAN MARTIN HIDALGO,EL CRUCERO DE SANTA MARIA,LAZARO CARDENAS S/N.,46798,-103.8553472,20.3847,SUSPENDIDO
1404028X, iMAX,2 MB,SEJ,OTILIO MONTAÑO,MATUTINO,PRIMARIA,CIENEGA,ZAPOTLAN DEL REY,LA ORIA (EL MIRADOR),MORELOS 28,45980,-102.8479167,20.4564056,SIN SERVICIO
SSJ_193,ADSL,10 MB,SSJ,SANTA CECILIA,N/D,N/D,CENTRO,GUADALAJARA,GUADALAJARA,JULIAN CARRILLO # 2177,44700,-103.3461111,20.6763889,SUSPENDIDO
CR_012F2, iMAX,2 MB,CR,N/D,N/D,N/D,COSTA ORTE,PUERTO VALLARTA,N/D,N/D,N/D,-105.2223083,20.6228306,SIN SERVICIO
1402597A, iMAX,2 MB,SEJ,PAZ CAMARENA,VESPERTINO,PREESCOLAR,ALTOS SUR,ARANDAS,ARANDAS,FRANCISCO I MADERO 190,47180,-102.3423056,20.7048889,SIN SERVICIO
1407044D,ADSL,2 MB,SEJ,CENTRO DE ATENCION MULTIPLE ARENAL,VESPERTINO,ESPECIAL,VALLES,EL ARENAL,EL ARENAL,EMILIANO ZAPATA 308,45350,-103.6882083,20.7734111,SUSPENDIDO
1402517G, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,EL REFUGIO (EL MAGUEY),CONOCIDO,47470,-101.7956694,21.4288667,ACTIVO
UDG_410, iMAX,2 MB,UDG,CASA DE LA CULTURA/CENTRO UNIVERSITARIO VALLES,N/D,N/D,VALLES,AHUALULCO DE MERCADO,N/D,N/D,N/D,-103.97625,20.702639,SIN SERVICIO
1409193A, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,ALLENDE UM 11 COL.EL COLLI,45070,-103.5016667,20.7705556,SIN SERVICIO
1410985H,ADSL,10 MB,SEJ,JOSE GUADALUPE MATA LOPEZ,MATUTINO,PRIMARIA,CENTRO,ZAPOTLANEJO,ZAPOTLANEJO,FRANCISCO MEDINA ASCENCIO 37,45430,-103.0687556,20.6227861,SUSPENDIDO
1406855A,ADSL,2 MB,SEJ,JOSE MA MERCADO,MATUTINO,PRIMARIA,VALLES,AHUALULCO DE MERCADO,AHUALULCO DE MERCADO,EMILIO CARRANZA 21,46730,-103.9759194,20.7003889,SUSPENDIDO
1412120B,ADSL,10 MB,SEJ,N/C,MATUTINO,SECUNDARIA,COSTA ORTE,PUERTO VALLARTA,IXTAPA,PAVO REAL (FLAMINGOS Y GAVIOTAS),48290,-105.2049222,20.7147222,SUSPENDIDO
1410808C, iMAX,2 MB,SEJ,BENITO JUAREZ,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,CUAUHTEMOC 225 ,45400,-103.2372222,20.6236111,SIN SERVICIO
1404913G, iMAX,2 MB,SEJ,MARIA MONTESSORI,MATUTINO,PREESCOLAR,SUR,TECHALUTA DE MONTENEGRO,TECHALUTA DE MONTENEGRO,GUERRERO,49230,-103.5499028,20.0706833,SIN SERVICIO
1405034A,ADSL,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PRIMARIA,SUR,SAN GABRIEL,SAN GABRIEL,CERRADA DE MORELOS,49700,-103.7644417,19.7434778,SUSPENDIDO
1407357J,ADSL,10 MB,SEJ,CTRO DE BACHILLERATO TECN AGROPECUARIO 106,MATUTINO,BACHILLERATO,VALLES,TEQUILA,TEQUILA,CARRETERA INTERNACIONAL TEQUILA AYARIT KM. 1 APARTADO POSTAL 29,46400,-103.8366194,20.8916833,SUSPENDIDO
JCSSA005246,ADSL,10 MB,SSJ,UNIDAD MOVIL DE TAPALPA I,N/D,N/D,SUR,TAPALPA,TAPALPA,JUAN GIL PRECIADO # 15,49340,-103.7580556,19.945,SUSPENDIDO
053IEE,ADSL,2 MB,IEEA,N/D,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,N/D,HIDALGO # 247  COL. CENTRO C.P. 48900,48900,-104.3612389,19.7720806,SUSPENDIDO
1404710D, iMAX,2 MB,SEJ,FRANCISCO GABILONDO SOLER,MATUTINO,PREESCOLAR,SUR,AMACUECA,COFRADIA DEL ROSARIO,INGENIERO ANTONIO FIGUEROA,49370,-103.5546,20.0300333,SIN SERVICIO
DIF_MUN_064, iMAX,2 MB,DIF,N/D,N/D,N/D,SURESTE,PIHUAMO,N/D,FLORES MAGON UM. 9,N/D,103 22 45.10  ,19 15 16.33 ,SIN SERVICIO
1406360K,ADSL,10 MB,SEJ,EL PENSADOR MEXICANO,MATUTINO,PRIMARIA,COSTA ORTE,PUERTO VALLARTA,LAS JUNTAS,PINO SUAREZ 225,48291,-105.2454556,20.6980583,SUSPENDIDO
1406246H,ADSL,10 MB,SEJ,OCTAVIO PAZ,VESPERTINO,PRIMARIA,COSTA ORTE,PUERTO VALLARTA,PUERTO VALLARTA,GUANAJUATO 307,48292,-105.224125,20.6855167,SUSPENDIDO
1408328C, iMAX,2 MB,SEJ,JOSE VASCONCELOS,VESPERTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,JOSE ROJO 1312 ENTRE APOLONIO M AVILES Y BARTOLOME GUTIERREZ ,44970,-103.3769444,20.6277778,SIN SERVICIO
1409650H,ADSL,100 MB,SEJ,MA TERESA CAMPIRANO PALENCIA,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,MARIA TERESA CAMPIRANO 1,45198,-103.3370611,20.7308444,SUSPENDIDO
1402473B, iMAX,2 MB,SEJ,FRANCISCO JAVIER MINA,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,DIECIOCHO DE MARZO,CONOCIDO,47510,-101.7990028,21.4816417,ACTIVO
1401403D, iMAX,2 MB,SEJ,LA VIRGEN,MATUTINO,SECUNDARIA,ALTOS ORTE,LAGOS DE MORENO,LA VIRGEN,CONOCIDO,47470,-101.9776167,21.3616472,ACTIVO
JCSSA005625, iMAX,2 MB,SSJ,C.S MEZCALA,N/D,N/D,ALTOS SUR,TEPATITLAN DE MORELOS,MEZCALA,HIDALGO 90,47710,-102.8463889,20.9530556,SIN SERVICIO
1404756C, iMAX,2 MB,SEJ,SOR JUANA INES DE LA CRUZ,VESPERTINO,PREESCOLAR,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,BELISARIO DOMINGUEZ 285,49090,-103.4580972,19.6955028,SIN SERVICIO
1408563D, iMAX,2 MB,SEJ,EMILIANO ZAPATA SALAZAR,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,OTHON BLANCO CACERES 3730 ENTRE JULIAN GRANADOS Y ADOLFO CISNEROS ,44960,-103.37625,20.6267222,ACTIVO
1407620A, iMAX,2 MB,SEJ,S/N,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA ARTES PLASTICAS 100 ENTRE HERMENEGILDO BUSTOS Y ABNER ,44990,-103.3476111,20.6157222,ACTIVO
1410515A, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,HIDALGO 2 ENTRE RAMON MARTINEZ,45615,-103.3597222,20.5736111,ACTIVO
JCSSA007865, iMAX,2 MB,SSJ,CUXPALA,N/D,N/D,VALLES,TALA,CUXPALA,JUAREZ SIN UMERO,45341," 103¡42'05.7"" ",20¡38'58.9 ,SIN SERVICIO
UDG_147,ADSL,2 MB,UDG,N/D,N/D,N/D,SIERRA OCCIDENTAL,AYUTLA,N/D,GUERRERO O. 195,N/D,-104.344444,20.128889,SUSPENDIDO
1407234D, iMAX,2 MB,SEJ,VICENTE GUERRERO,MATUTINO,SECUNDARIA,VALLES,SAN MARTIN HIDALGO,BUENAVISTA,3 DE MAYO ¼ 122,46775,-103.8539,20.5698639,SIN SERVICIO
1404337J, iMAX,2 MB,SEJ,ESTEFANIA CASTAÑEDA,MATUTINO,PREESCOLAR,SURESTE,PIHUAMO,PIHUAMO,PINO SUAREZ,49870,-103.3752194,19.2509278,SIN SERVICIO
1407313H, iMAX,2 MB,SEJ,MANUEL M DIEGUEZ,MATUTINO,PREESCOLAR,VALLES,TALA,TALA,NICOLAS BRAVO 88,45300,-103.7029306,20.6445917,ACTIVO
1402730G,N/D,N/D,SEJ,ALBERTO OROZCO ROMERO,VESPERTINO,PRIMARIA,ALTOS SUR,SAN JULIAN,SAN JULIAN,JUAREZ 17,47170,-102.1820694,21.0057944,SUSPENDIDO
PS_025, iMAX,2 MB,GOB,COORDINACION DE PROCURADURIA SOCIAL EN LA BARCA,N/D,N/D,CIENEGA,LA BARCA,LA BARCA,ZARAGOZA #38 COL. CENTRO C.P 47910,47910,102 32 57.23  ,20 16 48 ,ACTIVO
JCSSA003566,ADSL,2 MB,SSJ,CENTRO DE SALUD LA MANZANILLA DE LA PAZ,N/D,N/D,SURESTE,LA MANZANILLA DE LA PAZ,LA MANZANILLA DE LA PAZ,ALDAMA #114,49460,-103.1541667,20.0041667,SUSPENDIDO
1412569F, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,SECUNDARIA,VALLES,COCULA,CAMAJAPA,ALDAMA # 69,48509,-103.9007194,20.3511306,SIN SERVICIO
1405098G, iMAX,2 MB,SEJ,MARGARITA MAZA DE JUAREZ,MATUTINO,PREESCOLAR,SUR,ZACOALCO DE TORRES,GENERAL ANDRES FIGUEROA (CATARINA DOS),JOSE ANTONIO TORRES 166,45765,-103.6073806,20.3005778,SIN SERVICIO
SSJ_329,ADSL,2 MB,SSJ,MODULO OCOTLAN,N/D,N/D,CIENEGA,OCOTLAN,OCOTLAN,LOPEZ MATEOS 162,47860,-102.7716667,20.3508333,SUSPENDIDO
UDG_245,ADSL,2 MB,UDG,ESC. PREPA. DE AYOTLAN,N/D,ESC. PREPA. DE AYOTLAN,CIENEGA,AYOTLAN,N/D,AV REVOLUCION 15,N/D,-102.326944,20.528611,SUSPENDIDO
1407712H,ADSL,10 MB,SEJ,EL LEAL,VESPERTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA MEXICO 2037,44680,-103.3699278,20.6787694,SUSPENDIDO
1408444C,ADSL,10 MB,SEJ,ESC. SEC. TEC. O. 113,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,MARIA LUISA MTNEZ. O. 4879,44250,-103.3281389,20.7296278,SUSPENDIDO
14EPR1042E,ADSL,100 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,N/D,N/D,N/D,ZAPOPAN,TESISTAN (SAN FRANCISCO TESISTAN),SANDIA,45200,,,SUSPENDIDO
